"Rank","Genes ranked in the direction 1","'-log10(RRA score)'","KO essential score","Brief feature","Description"
14449,"HERC4",0,-0.005,"NA","HECT and RLD domain containing E3 ubiquitin protein ligase 4"
14450,"HERC6",0,0.045,"NA","HECT and RLD domain containing E3 ubiquitin protein ligase family member 6"
14451,"HES1",0,-0.195,"TF","hes family bHLH transcription factor 1"
14452,"HES2",0,-0.055,"TF","hes family bHLH transcription factor 2"
14453,"HES3",0,-0.125,"TF","hes family bHLH transcription factor 3"
14454,"HES5",0,-0.08,"TF","hes family bHLH transcription factor 5"
14455,"HGD",0,0.075,"NA","homogentisate 1"
14456,"HGFAC",0,0.005,"NA","HGF activator"
14457,"HGH1",0,-0.045,"NA","HGH1 homolog"
14458,"HGS",0,-0.81,"NA","hepatocyte growth factor-regulated tyrosine kinase substrate"
14459,"HHAT",0,0.045,"NA","hedgehog acyltransferase"
14460,"HHATL",0,-0.04,"NA","hedgehog acyltransferase like"
14461,"HHIP",0,0.115,"NA","hedgehog interacting protein"
14462,"HIBADH",0,0,"NA","3-hydroxyisobutyrate dehydrogenase"
14463,"HIBCH",0,-0.16,"NA","3-hydroxyisobutyryl-CoA hydrolase"
14464,"HID1",0,-0.265,"NA","HID1 domain containing"
14465,"HIF1A",0,0.16,"TF","hypoxia inducible factor 1 subunit alpha"
14466,"HIGD1A",0,-0.09,"NA","HIG1 hypoxia inducible domain family member 1A"
14467,"HINT1",0,0.11,"NA","histidine triad nucleotide binding protein 1"
14468,"HINT2",0,-0.11,"NA","histidine triad nucleotide binding protein 2"
14469,"HINT3",0,0.02,"NA","histidine triad nucleotide binding protein 3"
14470,"HIP1",0,-0.035,"NA","huntingtin interacting protein 1"
14471,"HIRA",0,-0.78,"NA","histone cell cycle regulator"
14472,"HIVEP2",0,0.13,"TF","HIVEP zinc finger 2"
14473,"HIVEP3",0,-0.145,"TF","HIVEP zinc finger 3"
14474,"HKDC1",0,-0.03,"NA","hexokinase domain containing 1"
14475,"HLCS",0,-0.005,"NA","holocarboxylase synthetase"
14476,"HLF",0,-0.115,"TF","HLF transcription factor"
14477,"HMBOX1",0,0.205,"TF","homeobox containing 1"
14478,"HMCES",0,-0.2,"NA","5-hydroxymethylcytosine binding"
14479,"HMCN1",0,-0.16,"NA","hemicentin 1"
14480,"HMG20B",0,0.1,"TF","high mobility group 20B"
14481,"HMGCL",0,-0.095,"NA","3-hydroxy-3-methylglutaryl-CoA lyase"
14482,"HMGCS1",0,-1.38,"NA","3-hydroxy-3-methylglutaryl-CoA synthase 1"
14483,"HMGN2",0,-0.63,"ChroRemod","high mobility group nucleosomal binding domain 2"
14484,"HMX2",0,0.105,"TF","H6 family homeobox 2"
14485,"HMX3",0,-0.01,"TF","H6 family homeobox 3"
14486,"HNRNPAB",0,-0.015,"NA","heterogeneous nuclear ribonucleoprotein A/B"
14487,"HNRNPC",0,-1.13,"NA","heterogeneous nuclear ribonucleoprotein C"
14488,"HNRNPDL",0,-0.06,"NA","heterogeneous nuclear ribonucleoprotein D like"
14489,"HNRNPH2",0,-0.095,"NA","heterogeneous nuclear ribonucleoprotein H2"
14490,"HNRNPL",0,-1.155,"NA","heterogeneous nuclear ribonucleoprotein L"
14491,"HOMER2",0,-0.01,"NA","homer scaffold protein 2"
14492,"HORMAD2",0,-0.14,"NA","HORMA domain containing 2"
14493,"HOXA13",0,-0.075,"TF","homeobox A13"
14494,"HOXB13",0,0.02,"TF","homeobox B13"
14495,"HOXB5",0,-0.225,"TF","homeobox B5"
14496,"HOXC5",0,-0.235,"TF","homeobox C5"
14497,"HOXC6",0,-0.22,"TF","homeobox C6"
14498,"HOXD10",0,-0.16,"TF","homeobox D10"
14499,"HPGDS",0,-0.105,"NA","hematopoietic prostaglandin D synthase"
14500,"HPN",0,0.03,"NA","hepsin"
14501,"HPS1",0,-0.165,"NA","HPS1 biogenesis of lysosomal organelles complex 3 subunit 1"
14502,"HPS4",0,0.1,"NA","HPS4 biogenesis of lysosomal organelles complex 3 subunit 2"
14503,"HPSE",0,-0.04,"NA","heparanase"
14504,"HRH3",0,-0.035,"NA","histamine receptor H3"
14505,"HRH4",0,-0.025,"NA","histamine receptor H4"
14506,"HS3ST1",0,0.1,"NA","heparan sulfate-glucosamine 3-sulfotransferase 1"
14507,"HSBP1",0,-0.32,"ChroRemod","heat shock factor binding protein 1"
14508,"HSD17B11",0,-0.075,"NA","hydroxysteroid 17-beta dehydrogenase 11"
14509,"HSD17B2",0,0.235,"NA","hydroxysteroid 17-beta dehydrogenase 2"
14510,"HSD17B7",0,0.05,"NA","hydroxysteroid 17-beta dehydrogenase 7"
14511,"HSF2BP",0,0,"ChroRemod","heat shock transcription factor 2 binding protein"
14512,"HSF4",0,-0.2,"TF","heat shock transcription factor 4"
14513,"HSP90AB1",0,-0.31,"NA","heat shock protein 90 alpha family class B member 1"
14514,"HSPA13",0,-0.21,"NA","heat shock protein family A (Hsp70) member 13"
14515,"HSPA14",0,-0.33,"NA","heat shock protein family A (Hsp70) member 14"
14516,"HSPA1A",0,-0.15,"NA","heat shock protein family A (Hsp70) member 1A"
14517,"HSPA1B",0,-0.11,"NA","heat shock protein family A (Hsp70) member 1B"
14518,"HSPA4L",0,0.005,"NA","heat shock protein family A (Hsp70) member 4 like"
14519,"HSPA8",0,-0.68,"NA","heat shock protein family A (Hsp70) member 8"
14520,"HSPA9",0,-1.81,"NA","heat shock protein family A (Hsp70) member 9"
14521,"HSPB2",0,0.025,"NA","heat shock protein family B (small) member 2"
14522,"HSPB9",0,-0.22,"NA","heat shock protein family B (small) member 9"
14523,"HSPG2",0,-0.025,"NA","heparan sulfate proteoglycan 2"
14524,"HTR2A",0,0.035,"NA","5-hydroxytryptamine receptor 2A"
14525,"HTT",0,-0.105,"ChroRemod","solute carrier family 6 member 4"
14526,"HUS1B",0,0.16,"NA","HUS1 checkpoint clamp component B"
14527,"HUWE1",0,-0.985,"NA","HECT"
14528,"HYAL2",0,-0.08,"NA","hyaluronidase 2"
14529,"HYLS1",0,-0.105,"NA","HYLS1 centriolar and ciliogenesis associated"
