id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
SGR000121532.1_XPR003.1,1,0.35251,0.51938,0.999686,10601,1,0.64749,0.77059,0.999686,15849,0
Zdhhc7,4,0.35255,0.51942,0.999686,10602,1,0.20205,0.37443,0.98616,7829,3
Rpusd3,4,0.35266,0.5195,0.999686,10604,2,0.92282,0.92221,0.999686,18975,0
Cisd2,4,0.35266,0.5195,0.999686,10603,2,0.59849,0.73163,0.999686,15093,2
Olfr328,4,0.35277,0.51958,0.999686,10605,2,0.28167,0.47633,0.994069,9869,2
Rab3a,4,0.35277,0.51959,0.999686,10606,1,0.18484,0.35011,0.9861,7333,3
Zfp27,4,0.35282,0.51963,0.999686,10607,2,0.52742,0.67353,0.99901,13924,2
Scap,4,0.35289,0.51968,0.999686,10608,2,0.34472,0.52653,0.994069,10928,2
Olfr786,4,0.3529,0.51969,0.999686,10609,2,0.15923,0.31258,0.98511,6504,2
Gm11596,4,0.3529,0.51969,0.999686,10610,1,0.20819,0.38304,0.98616,8019,3
Cd209b,4,0.35309,0.51986,0.999686,10612,2,0.95906,0.95829,0.999686,19721,0
SGR000121798.1_XPR003.1,1,0.35309,0.51986,0.999686,10611,1,0.64691,0.77037,0.999686,15844,0
Npas2,4,0.35314,0.5199,0.999686,10613,1,0.066063,0.16649,0.98056,3507,3
Olfr576,4,0.35321,0.51995,0.999686,10614,1,0.14185,0.2867,0.98511,5985,3
Mien1,4,0.35325,0.51998,0.999686,10615,2,0.039443,0.11298,0.962674,2408,2
Nr1d1,4,0.35327,0.52,0.999686,10616,2,0.29838,0.48967,0.994069,10148,1
Olfr224,4,0.35339,0.52011,0.999686,10617,1,0.015689,0.048876,0.962674,1036,3
Lbr,4,0.35339,0.52011,0.999686,10618,2,0.69613,0.78899,0.999686,16247,1
Obscn,4,0.35343,0.52014,0.999686,10619,1,0.12689,0.26395,0.98511,5537,3
Mrpl46,4,0.35347,0.52017,0.999686,10620,2,0.1639,0.31954,0.98511,6647,2
Scyl3,4,0.35355,0.52024,0.999686,10621,2,0.13032,0.26919,0.98511,5643,1
Slc4a5,4,0.35355,0.52024,0.999686,10622,2,0.15585,0.30754,0.98511,6397,2
Chst11,4,0.35362,0.5203,0.999686,10623,2,0.34781,0.52904,0.994069,10975,2
Stag2,4,0.35363,0.52031,0.999686,10624,2,0.23585,0.42121,0.99404,8753,2
A4gnt,4,0.35367,0.52035,0.999686,10625,2,0.52434,0.67103,0.99901,13872,2
Srek1,4,0.35376,0.52043,0.999686,10626,2,0.44151,0.60438,0.99901,12491,2
Flrt3,4,0.35382,0.52048,0.999686,10627,2,0.35182,0.53218,0.994069,11036,1
