id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
HELB,4,0.34362,0.5555,1.0,10530,1,0.0011637,0.0033099,0.846597,74,3
EXOSC3,4,0.34404,0.5558,1.0,10531,2,0.21587,0.22562,0.985705,4536,1
RPGRIP1L,4,0.34426,0.55599,1.0,10532,2,0.5876,0.58737,0.985705,11976,0
LOC400863,4,0.34445,0.55613,1.0,10533,2,0.82982,0.83016,0.994743,16778,0
JMJD7-PLA2G4B,4,0.34445,0.55613,1.0,10534,2,0.87331,0.87366,0.999069,17581,0
TUBA3C,4,0.34445,0.55613,1.0,10535,2,0.043168,0.076351,0.985705,1475,1
controlguide804,1,0.34471,0.34503,1.0,10536,1,0.65529,0.65538,0.985939,13347,0
IRS1,4,0.34496,0.55648,1.0,10537,2,0.88997,0.8902,0.999595,17910,0
HHIPL2,4,0.34496,0.55648,1.0,10538,2,0.65572,0.65562,0.985939,13361,0
YIF1A,4,0.34496,0.55648,1.0,10539,2,0.38555,0.3852,0.985705,7791,0
SPOCK1,4,0.34503,0.55653,1.0,10540,2,0.19045,0.20404,0.985705,4118,1
ALKBH1,4,0.34516,0.55662,1.0,10541,2,0.82993,0.83027,0.994743,16783,0
CTNND2,4,0.34525,0.55669,1.0,10542,2,0.023998,0.044839,0.984765,899,1
HTR2A,4,0.34525,0.55669,1.0,10543,2,0.48911,0.48899,0.985705,9933,0
MPHOSPH10,4,0.34558,0.55694,1.0,10544,2,0.82776,0.82812,0.994743,16730,0
NR1H3,4,0.34558,0.55694,1.0,10545,2,0.35348,0.35301,0.985705,7138,1
IFFO1,4,0.34568,0.55702,1.0,10546,2,0.023068,0.04328,0.981503,872,1
PHAX,4,0.34568,0.55702,1.0,10547,2,0.3784,0.378,0.985705,7658,0
controlguide489,1,0.34574,0.34602,1.0,10548,1,0.65426,0.65435,0.985939,13327,0
LTB4R,4,0.34581,0.55711,1.0,10549,2,0.024101,0.045,0.985391,902,1
C12orf29,4,0.34581,0.55711,1.0,10550,2,0.57974,0.57953,0.985705,11812,0
KRTAP22-2,4,0.3459,0.55717,1.0,10551,2,0.21249,0.22275,0.985705,4481,1
